Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
61.64074231559932,24.8984107703211,98.38307386087754,5.448195349162823,117.83328928203582
79.91593289609072,43.172017925745784,116.65984786643565,23.720964289989908,136.11090150219155
16.756439123737216,-20.335106540511262,53.847984787985695,-39.97018474953348,73.48306299700792
19.50949497635041,-18.064458895076214,57.083448847777035,-37.9549085831508,76.97389853585162
74.81757479442837,37.18673411178923,112.4484154770675,17.26617036491185,132.36897922394488
87.59598486346499,48.76324290741531,126.42872681951468,28.206431059243897,146.9855386676861
49.806486775955364,10.577864985319351,89.03510856659138,-10.188512988347064,109.8014865402578
63.851561175198015,22.11044752327298,105.59267482712305,0.014036699465940217,127.68908565093008
79.60943847157084,37.792887142031574,121.4259898011101,15.656542023944361,143.56233491919733
42.448581405186054,0.21930713627299525,84.6778556740991,-22.135520308396615,107.03268311876872
30.43093768832809,-11.882644804948288,72.74452018160447,-34.28210232769612,95.1439777043523
73.1073747358567,30.774364651547224,115.44038482016617,8.364622783336927,137.85012668837646
76.27235453573975,33.45312788568189,119.09158118579762,10.785998515170931,141.75871055630859
44.31790613832232,1.478549835249396,87.15726244139525,-21.199235529887638,109.83504780653229
58.215547170057334,14.272898082503687,102.15819625761098,-8.988935203063079,125.42002954317775
79.75857116186307,35.81036599661607,123.70677632711008,12.545591501183537,146.9715508225426
50.69315097065076,6.523186784381068,94.86311515692046,-16.85897984565679,118.24528178695832
37.52805285961573,-6.817486749928783,81.87359246916023,-30.292597394723785,105.34870311395524
70.65480505850329,26.187168096104607,115.12244202090196,2.6474230169803548,138.66218710002622
72.63091101432042,27.888510916198094,117.37331111244274,4.203315019043089,141.05850700959775
43.73220192227647,-1.010629752857497,88.47503359741043,-24.69605411308205,112.16045795763497
55.74574019862396,10.38573520738445,101.10574518986348,-13.626400971213698,125.11788136846162
77.60098319451318,32.2395976790794,122.96236870994696,8.226730695117425,146.97523569390893
54.609448208468564,9.08965169308339,100.12924472385373,-15.007073008790115,124.22596942572724
41.3802287492021,-4.310207570183863,87.07066506858806,-28.497263527795702,111.2577210261999
68.64959777198143,22.79507167006748,114.5041238738954,-1.478848171363154,138.77804371532602
70.90463311804098,24.892881265028528,116.91638497105342,0.5357311385287318,141.27353509755324
45.1384019326154,-0.8738279915877314,91.15063185681853,-25.231231193688735,115.50803505891955
54.57048533408685,8.142932294771661,100.99803837340204,-16.434329683802495,125.57530035197618
75.20251300964802,28.77300665008235,121.63201936921368,4.194710646228344,146.2103153730677
56.71154156619156,10.164860571095915,103.25822256128721,-14.475463937948213,127.89854707033135
